	Kingdom	Phylum	Class	Order	Family	Genus
ASV_1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktomarina
ASV_2	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia
ASV_3	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_4	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_5	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Candidatus Aquiluna
ASV_6	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS3a marine group
ASV_7	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Cyanobium PCC-6307
ASV_8	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	NA
ASV_9	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	NA
ASV_10	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	ML602J-51
ASV_11	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_12	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade	NA
ASV_13	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	Pseudohongiella
ASV_14	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	NA
ASV_15	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	NA
ASV_16	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group
ASV_17	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia
ASV_18	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group
ASV_19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aestuariicoccus
ASV_20	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_21	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA
ASV_22	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Litorimicrobium
ASV_23	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Litoricolaceae	Litoricola
ASV_24	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade
ASV_25	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Maribius
ASV_26	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Luminiphilus
ASV_27	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter
ASV_28	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group
ASV_29	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Arcticiflavibacter
ASV_30	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Oleiphilaceae	Oleiphilus
ASV_31	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix
ASV_32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amylibacter
ASV_33	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV_34	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Candidatus Aquiluna
ASV_35	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NA
ASV_36	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
ASV_37	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_38	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA
ASV_39	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_40	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_41	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquibacter
ASV_42	Bacteria	Proteobacteria	Gammaproteobacteria	B2M28	NA	NA
ASV_43	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_44	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Formosa
ASV_45	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquibacter
ASV_46	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio
ASV_47	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Aliivibrio
ASV_48	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	NA
ASV_49	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Yoonia-Loktanella
ASV_50	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium
ASV_51	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group
ASV_52	Bacteria	Actinobacteriota	Actinobacteria	PeM15	NA	NA
ASV_53	Bacteria	NA	NA	NA	NA	NA
ASV_54	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_55	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade
ASV_56	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktotalea
ASV_57	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	Anderseniella
ASV_58	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pseudoalteromonadaceae	Pseudoalteromonas
ASV_59	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_60	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_61	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS3a marine group
ASV_62	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade III	NA
ASV_63	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group
ASV_64	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Flavimaricola
ASV_65	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	SAR92 clade
ASV_66	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Halioglobus
ASV_67	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	NA
ASV_68	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	OM182 clade	NA
ASV_69	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	PS1 clade	NA
ASV_70	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	NA
ASV_71	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV_72	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA
ASV_73	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Boseongicola
ASV_74	Bacteria	Actinobacteriota	Actinobacteria	PeM15	NA	NA
ASV_75	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NA
ASV_76	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Formosa
ASV_77	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_78	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Haliea
ASV_79	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis
ASV_80	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Lutimonas
ASV_81	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Neptunomonas
ASV_82	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rubripirellula
ASV_83	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV_84	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NA
ASV_85	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonas
ASV_86	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Parahaliea
ASV_87	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium
ASV_88	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Yoonia-Loktanella
ASV_89	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_90	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA
ASV_91	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	OM60(NOR5) clade
ASV_92	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Alcanivoracaceae	Ketobacter
ASV_93	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
ASV_94	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Kangiellaceae	NA
ASV_95	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Halioglobus
ASV_96	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Olleya
ASV_97	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	NA
ASV_98	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_99	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma
ASV_100	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV_101	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade
ASV_102	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aurantivirga
ASV_103	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	NA
ASV_104	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Thiogranum
ASV_105	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_106	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Alcanivoracaceae1	Alcanivorax
ASV_107	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	NA
ASV_108	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
ASV_109	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	NA
ASV_110	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	NA
ASV_111	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV_112	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Marivivens
ASV_113	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Luminiphilus
ASV_114	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10
ASV_115	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Cyanobium PCC-6307
ASV_116	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Litoreibacter
ASV_117	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Halioglobus
ASV_118	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavirhabdus
ASV_119	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Portibacter
ASV_120	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NA
ASV_121	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_122	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Oleiphilaceae	Oleiphilus
ASV_123	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
ASV_124	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
ASV_125	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	NA
ASV_126	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
ASV_127	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Halioglobus
ASV_128	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudooceanicola
ASV_129	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_130	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pseudoalteromonadaceae	Pseudoalteromonas
ASV_131	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter
ASV_132	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group
ASV_133	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	NA
ASV_134	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade	NA
ASV_135	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_136	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	NA
ASV_137	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_138	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV_139	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_140	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	NA
ASV_141	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	NA
ASV_142	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	KI89A clade	NA
ASV_143	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	NA	NA
ASV_144	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio
ASV_145	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Marinomonadaceae	Marinomonas
ASV_146	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	NA
ASV_147	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade
ASV_148	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquimarina
ASV_149	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_150	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
ASV_151	Bacteria	Planctomycetota	OM190	NA	NA	NA
ASV_152	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	Plesiocystis
ASV_153	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Ulvibacter
ASV_154	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group
ASV_155	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV_156	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
ASV_157	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA
ASV_158	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV_159	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV_160	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix
ASV_161	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella
ASV_162	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_163	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Thioglobaceae	SUP05 cluster
ASV_164	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_165	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Ascidiimonas
ASV_166	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Synechococcus CC9902
ASV_167	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Halioglobus
ASV_168	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_169	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pseudoalteromonadaceae	Psychrosphaera
ASV_170	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Candidatus Thiobios
ASV_171	Bacteria	Gemmatimonadota	PAUC43f marine benthic group	NA	NA	NA
ASV_172	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV_173	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_174	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudorhodobacter
ASV_175	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Fuerstia
ASV_176	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV_177	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter
ASV_178	Bacteria	Gemmatimonadota	BD2-11 terrestrial group	NA	NA	NA
ASV_179	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_180	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA
ASV_181	Bacteria	Desulfobacterota	Syntrophobacteria	Syntrophobacterales	NA	NA
ASV_182	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis
ASV_183	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma
ASV_184	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_185	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV_186	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	KI89A clade	NA
ASV_187	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	NA
ASV_188	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	SEEP-SRB1
ASV_189	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group
ASV_190	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_191	Bacteria	Desulfobacterota	Desulfuromonadia	Desulfuromonadales	Sva1033	NA
ASV_192	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pacificibacter
ASV_193	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	Porticoccus
ASV_194	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Luminiphilus
ASV_195	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_196	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Cyanobium PCC-6307
ASV_197	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_198	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	NA	NA
ASV_199	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	RS62 marine group
ASV_200	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	NA	NA
ASV_201	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_202	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_203	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA
ASV_204	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	NA	NA
ASV_205	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Filomicrobium
ASV_206	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula
ASV_207	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Marinobacterium
ASV_208	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter
ASV_209	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV_210	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
ASV_211	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Yoonia-Loktanella
ASV_212	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	NA	NA
ASV_213	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV_214	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	NA
ASV_215	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	NA	NA
ASV_216	Bacteria	SAR324 clade(Marine group B)	NA	NA	NA	NA
ASV_217	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola
ASV_218	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	NA
ASV_219	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_220	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	NA
ASV_221	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	Pseudohongiella
ASV_222	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Lutimonas
ASV_223	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_224	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Mameliella
ASV_225	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS3a marine group
ASV_226	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
ASV_227	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Olleya
ASV_228	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	NA
ASV_229	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	Nannocystis
ASV_230	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	OM60(NOR5) clade
ASV_231	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola
ASV_232	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	NA
ASV_233	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NA
ASV_234	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter
ASV_235	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	NA	NA
ASV_236	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter
ASV_237	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA
ASV_238	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Marinomonadaceae	Marinomonas
ASV_239	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Spongiibacteraceae	BD1-7 clade
ASV_240	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
ASV_241	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	NA
ASV_242	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfosarcina
ASV_243	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	NA
ASV_244	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella
ASV_245	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
ASV_246	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Donghicola
ASV_247	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Actibacter
ASV_248	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum
ASV_249	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	NA
ASV_250	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_251	Bacteria	Firmicutes	Bacilli	Acholeplasmatales	Acholeplasmataceae	Acholeplasma
ASV_252	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter
ASV_253	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_254	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	alphaI cluster
ASV_255	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_256	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
ASV_257	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
ASV_258	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	NA
ASV_259	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_260	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA
ASV_261	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans
ASV_262	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Ulvibacter
ASV_263	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chromobacteriaceae	Paludibacterium
ASV_264	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	NA	NA
ASV_265	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	NA
